date,open,high,low,volume,close
09/06/2013 8:31:52,1659.5,1660.5,1658.5,21483,1660.25
09/06/2013 8:34:22,1660.25,1660.5,1657.75,21480,1658.75
09/06/2013 8:37:00,1658.75,1661,1658.25,21481,1660
09/06/2013 8:39:13,1660,1660,1657.75,21489,1657.75
09/06/2013 8:40:16,1657.75,1658,1656,21512,1656
09/06/2013 8:41:12,1656,1656.25,1654.25,21538,1654.25
09/06/2013 8:42:20,1654.25,1655,1653,21548,1653
09/06/2013 8:43:08,1653,1653.5,1652.5,21555,1652.75
09/06/2013 8:44:11,1652.75,1653,1650.5,21578,1651
09/06/2013 8:44:35,1651,1651,1648.25,21601,1648.5
09/06/2013 8:45:28,1648.5,1650,1648,21627,1648.25
09/06/2013 8:46:04,1648.25,1648.5,1646.5,21484,1647.25
09/06/2013 8:46:59,1647.25,1647.25,1645,21805,1645.5
09/06/2013 8:47:31,1645.5,1645.5,1642.5,21677,1642.75
09/06/2013 8:48:02,1642.75,1644.5,1642.25,21692,1644
09/06/2013 8:48:56,1644,1645,1643.75,21680,1644.75
09/06/2013 8:49:55,1644.75,1646.25,1644.75,21654,1646
09/06/2013 8:50:31,1646,1647.75,1646,21647,1647
09/06/2013 8:52:07,1647,1647.75,1646,21648,1646.25
09/06/2013 8:53:44,1646.25,1648.25,1645.25,21645,1648
09/06/2013 8:55:31,1648,1648,1645.5,21643,1645.75
09/06/2013 8:57:08,1645.75,1647,1644.5,21658,1645.75
09/06/2013 8:59:32,1645.75,1647,1644.5,21640,1646
09/06/2013 9:01:18,1646,1646,1643.5,21691,1643.75
09/06/2013 9:03:05,1643.75,1645.25,1642.5,21680,1642.5
09/06/2013 9:03:42,1642.75,1642.75,1640.5,21714,1641
09/06/2013 9:04:18,1641,1641.25,1639,21732,1639.25
09/06/2013 9:05:17,1639.25,1640.75,1638.75,21629,1640.5
09/06/2013 9:06:33,1640.5,1643.25,1640.5,21819,1643.25
09/06/2013 9:08:09,1643.25,1644.75,1642.75,21679,1644.25
09/06/2013 9:10:21,1644.25,1645,1643,21688,1644
09/06/2013 9:12:07,1644,1646.5,1643.75,21662,1646.25
09/06/2013 9:13:42,1646.25,1646.75,1644.25,21673,1645.25
09/06/2013 9:15:42,1645.25,1647.75,1644.25,21656,1647.5
09/06/2013 9:17:16,1647.75,1648.25,1646.5,21634,1648
09/06/2013 9:19:49,1648,1648.75,1647,21633,1647.25
09/06/2013 9:23:22,1647.5,1648.75,1646.75,21615,1648.25
09/06/2013 9:26:56,1648.25,1648.75,1646.25,21654,1648.25
09/06/2013 9:29:25,1648.25,1649.5,1648.25,21610,1648.5
09/06/2013 9:31:33,1648.5,1650.25,1648.5,21604,1649
09/06/2013 9:35:55,1649,1650.5,1648.5,21620,1650
09/06/2013 9:40:59,1650,1650.75,1648.75,21606,1650.25
09/06/2013 9:43:25,1650.25,1652.5,1650,21582,1652.5
09/06/2013 9:45:01,1652.5,1653.75,1652,21567,1653.75
09/06/2013 9:46:26,1653.75,1654.75,1653.5,21532,1654.75
09/06/2013 9:48:45,1654.75,1655.25,1654.25,21531,1654.75
09/06/2013 9:51:49,1654.75,1655.5,1654,21568,1654.25
09/06/2013 9:56:28,1654.5,1655.25,1653.5,21551,1655.25
09/06/2013 9:58:03,1655.25,1657.25,1655,21495,1656.5
09/06/2013 10:00:36,1656.5,1658.25,1656.25,21534,1658
09/06/2013 10:03:51,1658,1659,1657.5,21496,1659
09/06/2013 10:05:28,1659,1660.25,1658.25,21483,1659.5
09/06/2013 10:09:17,1659.5,1659.5,1658.25,21488,1658.25
09/06/2013 10:12:52,1658.25,1659.75,1658,21491,1659.25
09/06/2013 10:16:44,1659.25,1659.75,1658.25,21483,1658.25
09/06/2013 10:19:40,1658.25,1658.5,1657.25,21493,1657.75
09/06/2013 10:25:12,1657.75,1658.5,1657.5,21498,1658.25
09/06/2013 10:30:02,1658.25,1659.5,1658,21501,1659.5
09/06/2013 10:34:47,1659.5,1660,1658.25,21391,1660
09/06/2013 10:38:30,1660,1660.5,1659.5,21550,1659.75
09/06/2013 10:42:30,1659.75,1660.5,1659,21495,1659.25
