Date,Open,High,Low,Close,Adj Close,Volume
2019-01-18,266.559998,268.570007,265.700012,268.070007,262.385773,6994200
2019-01-22,266.369995,266.589996,262.640015,264.500000,258.891479,5992300
2019-01-23,265.619995,266.339996,262.260010,264.880005,259.263397,6762400
2019-01-24,264.790009,265.769989,263.670013,265.140015,259.517914,3731700
2019-01-25,267.190002,268.269989,266.709991,267.500000,261.827850,3333900
2019-01-28,265.000000,265.410004,263.350006,265.350006,259.723450,4425100
2019-01-29,265.470001,266.089996,264.079987,264.980011,259.361267,4454100
2019-01-30,266.670013,270.119995,265.850006,269.230011,263.521179,5117200
2019-01-31,269.119995,272.029999,268.920013,271.549988,265.791992,6521800
2019-02-01,271.799988,272.839996,270.829987,271.700012,265.938812,3901800
2019-02-04,271.769989,273.670013,270.980011,273.649994,267.847473,2960200
2019-02-05,274.119995,275.079987,273.540009,274.820007,268.992645,4051300
2019-02-06,274.440002,274.980011,273.570007,274.410004,268.591339,3962600
2019-02-07,272.579987,273.179993,269.929993,271.829987,266.066071,6678000
2019-02-08,270.350006,272.149994,269.470001,272.130005,266.359650,2909300
2019-02-11,272.839996,273.149994,271.700012,272.279999,266.506470,2770300
2019-02-12,274.059998,276.200012,274.000000,275.820007,269.971436,4285400
2019-02-13,276.720001,277.619995,276.250000,276.660004,270.793640,2994400
2019-02-14,275.440002,277.309998,274.540009,276.029999,270.176971,7159700
2019-02-15,278.010010,279.160004,277.820007,279.160004,273.240662,4844200
2019-02-19,278.209991,280.299988,278.179993,279.549988,273.622345,4588400
2019-02-20,279.549988,280.630005,278.989990,280.089996,274.150909,5534300
2019-02-21,279.450012,279.790009,278.040009,279.209991,273.289551,3118300
2019-02-22,279.859985,281.079987,279.540009,280.820007,274.865417,4962900
2019-02-25,282.459991,283.059998,281.149994,281.260010,275.296112,4699300
2019-02-26,280.809998,282.019989,280.660004,281.049988,275.090546,4881300
2019-02-27,280.279999,281.309998,279.200012,280.910004,274.953522,3283800
2019-02-28,280.660004,281.179993,280.059998,280.320007,274.376038,4166100
2019-03-01,282.200012,282.619995,280.559998,282.309998,276.323822,4204000
2019-03-04,283.369995,283.570007,278.549988,281.160004,275.198212,4811800
2019-03-05,281.279999,281.489990,280.140015,280.799988,274.845825,2502400
2019-03-06,280.869995,280.880005,278.679993,279.010010,273.093842,3411700
2019-03-07,278.529999,278.660004,275.739990,276.760010,270.891541,4553800
2019-03-08,274.579987,276.329987,274.100006,276.200012,270.343414,5315800
2019-03-11,276.959991,280.350006,276.940002,280.209991,274.268341,3843700
2019-03-12,280.790009,281.799988,280.619995,281.200012,275.237396,2089500
2019-03-13,282.230011,284.130005,282.040009,283.149994,277.145996,2804600
2019-03-14,283.140015,283.600006,282.429993,283.010010,277.009003,2396400
2019-03-15,283.559998,285.209991,283.329987,284.279999,278.252045,3132400
2019-03-18,284.570007,285.670013,284.329987,285.410004,279.358093,3786200
2019-03-19,286.510010,287.399994,284.440002,285.540009,279.485352,5845600
2019-03-20,284.059998,285.380005,282.190002,283.390015,278.483032,4671800
2019-03-21,282.510010,287.070007,282.489990,286.570007,281.607941,3615200
2019-03-22,285.119995,285.709991,281.070007,281.160004,276.291595,6540600
2019-03-25,280.769989,282.079987,279.529999,280.910004,276.045929,4726400
2019-03-26,282.869995,284.089996,281.450012,282.959991,278.060425,4222700
2019-03-27,283.019989,283.660004,279.829987,281.579987,276.704285,3437000
2019-03-28,282.250000,283.100006,280.959991,282.690002,277.795105,2380700
2019-03-29,284.309998,284.739990,283.029999,284.559998,279.632721,4331300
2019-04-01,286.640015,288.079987,286.350006,287.850006,282.865753,4170400
2019-04-02,287.970001,288.160004,287.040009,287.920013,282.934540,7162300
2019-04-03,289.250000,289.700012,287.679993,288.440002,283.445557,3439000
2019-04-04,288.739990,289.390015,287.950012,289.130005,284.123596,3422400
2019-04-05,289.859985,290.559998,289.540009,290.450012,285.420776,3928500
2019-04-08,290.029999,290.850006,289.309998,290.769989,285.735199,2492300
2019-04-09,289.730011,290.019989,288.660004,289.269989,284.261139,3990400
2019-04-10,289.720001,290.339996,289.269989,290.220001,285.194702,2879200
2019-04-11,290.769989,290.779999,289.529999,290.200012,285.175079,2581400
2019-04-12,291.970001,292.440002,291.209991,292.160004,287.101105,2516100
2019-04-15,292.239990,292.309998,291.040009,291.920013,286.865295,3124800
2019-04-16,292.920013,292.980011,291.459991,292.140015,287.081512,3759000
2019-04-17,293.380005,293.390015,290.940002,291.369995,286.324799,4343000
2019-04-18,292.089996,292.279999,290.619995,292.000000,286.943909,4367500
2019-04-22,291.130005,292.399994,291.040009,292.299988,287.238678,2879500
2019-04-23,292.649994,295.109985,292.399994,294.839996,289.734711,4574500
2019-04-24,294.750000,295.140015,294.059998,294.220001,289.125458,2568500
2019-04-25,294.130005,294.760010,292.679993,294.040009,288.948578,1839000
2019-04-26,294.109985,295.500000,293.209991,295.470001,290.353821,2160500
2019-04-29,295.510010,296.459991,295.410004,295.790009,290.668304,2986600
2019-04-30,295.489990,296.329987,293.910004,295.940002,290.815704,4549100
2019-05-01,296.730011,296.929993,293.769989,293.799988,288.712738,2952100
2019-05-02,293.640015,294.679993,291.489990,293.260010,288.182098,3279700
2019-05-03,294.790009,296.329987,294.570007,296.010010,290.884491,3160500
2019-05-06,291.220001,295.279999,290.880005,294.899994,289.793701,2792400
2019-05-07,292.130005,292.790009,287.750000,289.910004,284.890076,5263000
2019-05-08,289.549988,291.380005,288.820007,289.519989,284.506836,5809800
2019-05-09,287.200012,289.239990,285.230011,288.720001,283.720703,4280900
2019-05-10,287.589996,290.899994,284.209991,290.000000,284.978546,4329400
2019-05-13,284.309998,285.399994,281.839996,282.799988,277.903198,5831700
2019-05-14,283.910004,287.019989,283.750000,285.320007,280.379578,3202800
2019-05-15,283.500000,287.700012,283.250000,287.029999,282.059967,3135500
2019-05-16,287.769989,291.170013,287.709991,289.559998,284.546173,3911200
2019-05-17,287.089996,290.540009,287.079987,287.899994,282.914886,3833300
2019-05-20,286.049988,287.369995,285.049988,285.980011,281.028137,2515800
2019-05-21,287.769989,288.859985,287.489990,288.480011,283.484863,3634900
2019-05-22,287.350006,288.600006,287.059998,287.649994,282.669220,3147400
2019-05-23,285.100006,285.109985,282.470001,284.059998,279.141418,4419100
2019-05-24,285.660004,286.119995,284.010010,284.760010,279.829285,1809900
2019-05-28,285.019989,286.079987,282.079987,282.079987,277.195679,2455600
2019-05-29,280.779999,281.200012,278.559998,280.239990,275.387512,6641200
2019-05-30,280.959991,281.920013,279.679993,280.869995,276.006592,3840000
2019-05-31,278.059998,278.959991,277.109985,277.299988,272.498444,5428400
2019-06-03,277.149994,278.390015,274.899994,276.380005,271.594360,5589700
2019-06-04,278.959991,282.579987,278.470001,282.440002,277.549438,3598900
2019-06-05,284.250000,284.899994,282.209991,284.859985,279.927521,4673700
2019-06-06,285.209991,287.500000,284.489990,286.760010,281.794647,4294500
2019-06-07,287.899994,290.829987,287.700012,289.670013,284.654266,3180200
2019-06-10,291.359985,292.809998,290.869995,291.000000,285.961243,3862800
2019-06-11,293.000000,293.420013,290.179993,290.950012,285.912109,2923100
2019-06-12,290.660004,291.250000,289.829987,290.290009,285.263519,2310100
2019-06-13,291.399994,291.970001,290.630005,291.619995,286.570496,2305000
2019-06-14,291.309998,291.929993,290.399994,291.250000,286.206879,2000100
2019-06-17,289.750000,290.450012,289.410004,289.739990,286.471863,2511100
2019-06-18,291.630005,293.799988,291.250000,292.450012,289.151306,4622700
2019-06-19,292.790009,293.890015,291.779999,293.239990,289.932373,7606200
2019-06-20,296.320007,296.570007,293.880005,296.019989,292.681000,4409000
2019-06-21,295.790009,297.200012,295.470001,295.570007,292.236115,3628100
2019-06-24,295.899994,296.269989,295.149994,295.269989,291.939484,3549200
2019-06-25,295.350006,295.410004,292.299988,292.410004,289.111755,2975600
2019-06-26,293.420013,293.989990,292.019989,292.079987,288.785431,4210200
2019-06-27,292.989990,293.730011,292.609985,293.279999,289.971924,2722100
2019-06-28,294.279999,295.209991,293.709991,294.750000,291.425354,5751100
2019-07-01,298.369995,298.880005,296.019989,297.320007,293.966370,3934500
2019-07-02,297.290009,298.230011,296.369995,298.230011,294.866119,3786000
2019-07-03,298.890015,300.519989,298.750000,300.480011,297.090729,1853800
2019-07-05,299.179993,300.359985,297.739990,300.100006,296.714996,2198200
2019-07-08,298.709991,299.049988,297.739990,298.549988,295.182465,2954400
2019-07-09,297.230011,299.260010,297.190002,299.029999,295.657074,1544300
2019-07-10,300.119995,301.390015,299.500000,300.399994,297.011627,2498200
2019-07-11,301.049988,301.320007,299.929993,300.929993,297.535614,5142100
2019-07-12,301.609985,302.489990,301.260010,302.489990,299.078033,4346100
2019-07-15,302.859985,302.890015,301.970001,302.459991,299.048401,4400600
2019-07-16,302.410004,302.600006,301.190002,301.440002,298.039886,2233900
2019-07-17,301.470001,301.640015,299.480011,299.480011,296.102020,2142400
2019-07-18,298.890015,300.959991,298.420013,300.649994,297.258820,4371500
2019-07-19,301.779999,301.820007,298.690002,298.899994,295.528534,3510300
2019-07-22,299.329987,300.209991,298.769989,299.579987,296.200867,2571000
2019-07-23,300.910004,301.760010,299.959991,301.720001,298.316742,2209200
2019-07-24,300.940002,303.170013,300.829987,303.170013,299.750397,2390900
2019-07-25,302.709991,302.739990,300.829987,301.709991,298.306854,3671000
2019-07-26,302.500000,303.980011,302.399994,303.769989,300.343597,2711600
2019-07-29,303.630005,303.679993,302.579987,303.220001,299.799805,2326300
2019-07-30,301.649994,302.899994,301.220001,302.480011,299.068146,4701600
2019-07-31,302.760010,302.940002,296.890015,299.230011,295.854828,8580600
2019-08-01,299.320007,302.600006,295.660004,296.519989,293.175354,10111600
2019-08-02,295.519989,295.809998,292.589996,294.420013,291.099091,7481100
2019-08-05,289.769989,289.850006,283.339996,285.570007,282.348907,6926000
2019-08-06,287.540009,289.690002,285.929993,289.380005,286.115936,5461900
2019-08-07,286.010010,290.459991,283.660004,289.660004,286.392792,5787700
2019-08-08,291.260010,295.279999,290.679993,295.279999,291.949371,5600900
2019-08-09,294.269989,294.950012,291.320007,293.359985,290.051025,4104700
2019-08-12,291.579987,292.209991,288.690002,289.809998,286.541046,2768300
2019-08-13,289.369995,295.839996,289.000000,294.279999,290.960663,3622700
2019-08-14,289.700012,290.410004,285.399994,285.600006,282.378571,5805500
2019-08-15,286.519989,287.239990,284.019989,286.339996,283.110199,5784200
2019-08-16,288.140015,291.010010,288.079987,290.579987,287.302368,3906300
2019-08-19,293.859985,294.769989,293.140015,294.070007,290.753052,2828500
2019-08-20,293.489990,294.019989,291.609985,291.790009,288.498749,2987200
2019-08-21,294.149994,294.570007,293.429993,294.179993,290.861786,3004600
2019-08-22,294.950012,295.630005,292.100006,294.070007,290.753052,4230200
2019-08-23,292.630005,294.450012,285.100006,286.470001,283.238739,6060200
2019-08-26,288.910004,289.660004,287.239990,289.660004,286.392792,2675200
