MBS DATA,,,,,,,,,,
Trade date,Contractual settlement date,Trade amount,Agency,Coupon,Term,CUSIP,Transaction category,Price,Primary dealer,Investment manager
Jan 9 2009,Jan 13 2009,250.0,FHLMC,4.5,30 YR,02R04261,Purchase,102.41,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Goldman Sachs Asset Management
Jan 9 2009,Mar 12 2009,250.0,FHLMC,4.0,30 YR,02R04063,Purchase,100.44,Citigroup Global Markets Inc.,Goldman Sachs Asset Management
Jan 9 2009,Jan 13 2009,100.0,FNMA,4.0,30 YR,01F04061,Purchase,101.28,Credit Suisse Securities (USA) LLC,Goldman Sachs Asset Management
Jan 9 2009,Mar 17 2009,100.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.22,Credit Suisse Securities (USA) LLC,Goldman Sachs Asset Management
Jan 9 2009,Mar 17 2009,100.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.30,Credit Suisse Securities (USA) LLC,Goldman Sachs Asset Management
Jan 9 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.16,Credit Suisse Securities (USA) LLC,Goldman Sachs Asset Management
Jan 9 2009,Feb 12 2009,100.0,FNMA,6.0,30 YR,01F06062,Purchase,103.75,Deutsche Bank Securities Inc.,Goldman Sachs Asset Management
Jan 9 2009,Feb 12 2009,250.0,FNMA,4.0,30 YR,01F04062,Purchase,100.88,J.P. Morgan Securities LLC,Goldman Sachs Asset Management
Jan 9 2009,Mar 17 2009,100.0,FNMA,4.0,15 YR,01F04043,Purchase,101.45,Morgan Stanley & Co. Incorporated,Goldman Sachs Asset Management
Jan 9 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,101.98,Morgan Stanley & Co. Incorporated,Goldman Sachs Asset Management
Jan 9 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.11,Morgan Stanley & Co. Incorporated,Goldman Sachs Asset Management
Jan 9 2009,Feb 12 2009,150.0,FHLMC,5.0,30 YR,02R05062,Purchase,102.93,Morgan Stanley & Co. Incorporated,Goldman Sachs Asset Management
Jan 9 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.16,UBS Securities LLC,Goldman Sachs Asset Management
Jan 12 2009,Mar 17 2009,200.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.22,Barclays Capital Inc.,PIMCO
Jan 12 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.08,Barclays Capital Inc.,PIMCO
Jan 12 2009,Feb 12 2009,500.0,FNMA,4.0,30 YR,01F04062,Purchase,100.77,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",PIMCO
Jan 12 2009,Mar 18 2009,200.0,GNMA,4.5,30 YR,01N04263,Purchase,101.95,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",PIMCO
Jan 12 2009,Feb 12 2009,500.0,FHLMC,4.0,30 YR,02R04062,Purchase,100.73,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",PIMCO
Jan 12 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,101.92,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",PIMCO
Jan 12 2009,Feb 12 2009,500.0,FHLMC,5.0,30 YR,02R05062,Purchase,102.80,BNP Paribas Securities Corp.,PIMCO
Jan 12 2009,Mar 17 2009,300.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.36,Citigroup Global Markets Inc.,PIMCO
Jan 12 2009,Feb 12 2009,300.0,FNMA,4.0,30 YR,01F04062,Purchase,100.80,Credit Suisse Securities (USA) LLC,PIMCO
Jan 12 2009,Mar 18 2009,200.0,GNMA,4.5,30 YR,01N04263,Purchase,101.95,Credit Suisse Securities (USA) LLC,PIMCO
Jan 12 2009,Mar 17 2009,200.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.25,Credit Suisse Securities (USA) LLC,PIMCO
Jan 12 2009,Feb 12 2009,50.0,FHLMC,4.0,30 YR,02R04062,Purchase,100.78,Credit Suisse Securities (USA) LLC,PIMCO
Jan 12 2009,Feb 12 2009,250.0,FHLMC,4.5,30 YR,02R04262,Purchase,101.92,Credit Suisse Securities (USA) LLC,PIMCO
Jan 12 2009,Feb 12 2009,500.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.06,Credit Suisse Securities (USA) LLC,PIMCO
Jan 12 2009,Feb 12 2009,500.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.08,Credit Suisse Securities (USA) LLC,PIMCO
