date,open,high,low,close,volume,vwap
2013-09-05 11:00:00,1653.0,1656.25,1652.75,1655.75,157592,1654.4337862962586
2013-09-05 12:00:00,1655.5,1656.0,1653.75,1654.5,86069,1654.597764584229
2013-09-05 13:00:00,1654.5,1656.25,1653.25,1654.0,89305,1654.6356502995352
2013-09-05 14:00:00,1654.0,1656.75,1653.5,1656.0,80945,1655.1137130150103
2013-09-05 15:00:00,1656.0,1656.0,1652.75,1653.0,126970,1653.98850318973
2013-09-05 16:00:00,1653.25,1653.5,1652.0,1652.25,63513,1652.8593634374065
2013-09-05 17:00:00,1652.5,1652.75,1651.75,1652.0,1755,1652.2004273504274
2013-09-05 18:00:00,1652.0,1654.0,1652.0,1653.5,2632,1653.064874620061
2013-09-05 19:00:00,1653.5,1654.0,1653.0,1653.75,1019,1653.5888125613346
2013-09-05 20:00:00,1654.0,1654.0,1648.5,1649.0,9510,1650.9684805467928
2013-09-05 21:00:00,1649.0,1650.25,1648.5,1650.0,8411,1649.2753537034835
2013-09-05 22:00:00,1649.75,1651.25,1649.5,1651.25,2512,1650.3760947452229
2013-09-05 23:00:00,1651.25,1651.75,1651.0,1651.75,2550,1651.4192156862746
2013-09-06 00:00:00,1651.5,1652.75,1651.25,1652.25,4892,1652.0538634505315
2013-09-06 01:00:00,1652.25,1652.5,1650.75,1651.25,6596,1651.5260006064282
2013-09-06 02:00:00,1651.25,1654.0,1651.0,1653.75,6250,1652.86952
2013-09-06 03:00:00,1653.75,1655.75,1652.0,1653.0,25527,1653.9064421984565
2013-09-06 04:00:00,1653.0,1654.25,1652.0,1653.75,17562,1653.1638196105228
2013-09-06 05:00:00,1653.75,1654.0,1652.0,1652.25,11059,1653.1117189619315
2013-09-06 06:00:00,1652.25,1653.75,1652.0,1653.5,10230,1652.7725806451613
2013-09-06 07:00:00,1653.25,1656.5,1653.0,1656.0,28306,1655.1195152971102
2013-09-06 08:00:00,1656.0,1663.5,1655.75,1662.5,186136,1660.1398238384836
2013-09-06 09:00:00,1662.5,1662.75,1642.25,1645.75,541163,1650.9518499971357
2013-09-06 10:00:00,1645.75,1657.25,1638.75,1656.5,570496,1647.988454344991
2013-09-06 11:00:00,1656.5,1660.5,1656.5,1659.25,285884,1658.7742502203691
2013-09-06 12:00:00,1659.5,1660.5,1656.0,1658.0,130064,1658.4997424344938
2013-09-06 13:00:00,1658.0,1663.25,1657.75,1662.0,140699,1660.487288466869
2013-09-06 14:00:00,1662.0,1664.0,1660.0,1660.75,136468,1662.0580099363954
2013-09-06 15:00:00,1660.5,1661.5,1652.75,1654.0,316195,1656.6529894527112
2013-09-06 16:00:00,1653.75,1654.75,1652.5,1654.0,82266,1653.6355541779108
2013-09-06 17:00:00,1654.0,1654.5,1653.75,1654.0,715,1654.134965034965
2013-09-06 18:00:00,,,,,0,
2013-09-06 19:00:00,,,,,0,
2013-09-06 20:00:00,,,,,0,
2013-09-06 21:00:00,,,,,0,
2013-09-06 22:00:00,,,,,0,
2013-09-06 23:00:00,,,,,0,
2013-09-07 00:00:00,,,,,0,
2013-09-07 01:00:00,,,,,0,
2013-09-07 02:00:00,,,,,0,
2013-09-07 03:00:00,,,,,0,
2013-09-07 04:00:00,,,,,0,
2013-09-07 05:00:00,,,,,0,
2013-09-07 06:00:00,,,,,0,
2013-09-07 07:00:00,,,,,0,
2013-09-07 08:00:00,,,,,0,
2013-09-07 09:00:00,,,,,0,
2013-09-07 10:00:00,,,,,0,
2013-09-07 11:00:00,,,,,0,
2013-09-07 12:00:00,,,,,0,
2013-09-07 13:00:00,,,,,0,
2013-09-07 14:00:00,,,,,0,
2013-09-07 15:00:00,,,,,0,
2013-09-07 16:00:00,,,,,0,
2013-09-07 17:00:00,,,,,0,
2013-09-07 18:00:00,,,,,0,
2013-09-07 19:00:00,,,,,0,
2013-09-07 20:00:00,,,,,0,
2013-09-07 21:00:00,,,,,0,
2013-09-07 22:00:00,,,,,0,
2013-09-07 23:00:00,,,,,0,
2013-09-08 00:00:00,,,,,0,
2013-09-08 01:00:00,,,,,0,
2013-09-08 02:00:00,,,,,0,
2013-09-08 03:00:00,,,,,0,
2013-09-08 04:00:00,,,,,0,
2013-09-08 05:00:00,,,,,0,
2013-09-08 06:00:00,,,,,0,
2013-09-08 07:00:00,,,,,0,
2013-09-08 08:00:00,,,,,0,
2013-09-08 09:00:00,,,,,0,
2013-09-08 10:00:00,,,,,0,
2013-09-08 11:00:00,,,,,0,
2013-09-08 12:00:00,,,,,0,
2013-09-08 13:00:00,,,,,0,
2013-09-08 14:00:00,,,,,0,
2013-09-08 15:00:00,,,,,0,
2013-09-08 16:00:00,,,,,0,
2013-09-08 17:00:00,,,,,0,
2013-09-08 18:00:00,1652.0,1658.0,1652.0,1656.0,10507,1655.423574759684
2013-09-08 19:00:00,1656.0,1657.25,1655.5,1656.5,2365,1656.2789640591966
2013-09-08 20:00:00,1656.5,1657.0,1654.75,1655.5,4538,1655.6557404142793
2013-09-08 21:00:00,1655.25,1656.75,1654.75,1656.0,3723,1655.9024979854955
2013-09-08 22:00:00,1656.0,1656.75,1654.75,1656.5,2797,1655.799427958527
2013-09-08 23:00:00,1656.75,1659.25,1656.5,1657.75,5650,1658.1121238938053
2013-09-09 00:00:00,1658.0,1658.25,1657.5,1657.75,1000,1658.027
2013-09-09 01:00:00,1657.75,1658.5,1657.25,1658.5,2183,1657.8087494273934
2013-09-09 02:00:00,1658.5,1659.25,1657.75,1658.75,6421,1658.628679333437
2013-09-09 03:00:00,1658.5,1659.0,1656.5,1657.75,19699,1657.6074673841313
2013-09-09 04:00:00,1658.0,1659.75,1657.25,1659.25,17754,1658.672172468176
2013-09-09 05:00:00,1659.5,1659.5,1656.5,1656.75,15041,1657.5909181570373
2013-09-09 06:00:00,1656.75,1659.0,1656.25,1656.25,13530,1657.694881744272
2013-09-09 07:00:00,1656.25,1658.5,1656.0,1657.0,17478,1657.2085049776863
2013-09-09 08:00:00,1657.25,1658.25,1656.5,1658.25,19772,1657.334601962371
2013-09-09 09:00:00,1658.25,1664.75,1657.75,1663.75,194479,1661.6559011512811
2013-09-09 10:00:00,1663.75,1665.25,1660.25,1662.0,205701,1662.3873838727084
2013-09-09 11:00:00,1662.0,1664.75,1661.0,1664.0,181435,1662.7538884448977
2013-09-09 12:00:00,1664.0,1667.0,1663.75,1666.0,137266,1665.6122692436584
2013-09-09 13:00:00,1665.75,1668.5,1665.25,1668.25,93901,1666.5381465586097
2013-09-09 14:00:00,1668.25,1671.75,1668.25,1669.75,175471,1670.1657054442044
2013-09-09 15:00:00,1669.75,1671.5,1668.75,1670.25,182157,1670.0155264414764
2013-09-09 16:00:00,1670.5,1671.25,1668.25,1670.5,102279,1670.2216217405332
2013-09-09 17:00:00,1670.25,1671.25,1670.25,1671.0,4251,1670.761938367443
2013-09-09 18:00:00,1671.0,1672.25,1670.5,1671.25,6893,1671.4493689249964
2013-09-09 19:00:00,1671.25,1672.25,1671.0,1672.0,3057,1671.5386817140989
2013-09-09 20:00:00,1671.75,1671.75,1670.75,1671.0,4198,1671.1632324916627
2013-09-09 21:00:00,1670.75,1671.0,1669.0,1669.5,5913,1669.8608151530525
2013-09-09 22:00:00,1669.5,1671.25,1669.5,1670.0,3104,1670.2859213917525
2013-09-09 23:00:00,1670.0,1670.25,1669.0,1669.75,5086,1669.7565867086118
2013-09-10 00:00:00,1669.5,1670.75,1669.5,1670.75,1768,1670.2529694570135
2013-09-10 01:00:00,1670.5,1672.75,1670.5,1672.0,6804,1671.907627865961
2013-09-10 02:00:00,1672.0,1673.0,1670.75,1672.5,10028,1671.9571200638213
2013-09-10 03:00:00,1672.5,1677.25,1671.5,1676.25,40722,1674.5646886204017
2013-09-10 04:00:00,1676.25,1677.75,1676.0,1676.5,18261,1676.9529872405674
2013-09-10 05:00:00,1676.5,1677.75,1675.75,1677.25,16317,1676.6780964638108
2013-09-10 06:00:00,1677.25,1678.5,1677.0,1677.5,16256,1677.6915600393702
2013-09-10 07:00:00,1677.25,1681.25,1677.0,1680.0,62516,1679.3524577708106
2013-09-10 08:00:00,1679.75,1680.75,1678.5,1679.0,45337,1679.7585746741072
2013-09-10 09:00:00,1679.25,1681.25,1676.75,1679.5,232093,1679.1476455558764
2013-09-10 10:00:00,1679.5,1683.0,1679.0,1681.75,271273,1681.0948131587
2013-09-10 11:00:00,1681.75,1682.25,1676.75,1678.5,232422,1680.104201624631
2013-09-10 12:00:00,1678.75,1681.25,1678.5,1680.75,119399,1679.5307268067572
2013-09-10 13:00:00,1680.5,1682.0,1679.0,1681.0,179619,1680.871057627534
2013-09-10 14:00:00,1681.25,1682.0,1679.25,1681.5,148377,1680.709213692149
2013-09-10 15:00:00,1681.5,1683.25,1680.25,1683.25,227134,1681.870843863094
2013-09-10 16:00:00,1683.25,1683.25,1681.75,1682.75,92682,1682.5089877214562
2013-09-10 17:00:00,1682.5,1683.0,1682.25,1682.75,2504,1682.6473642172523
2013-09-10 18:00:00,1682.25,1682.5,1681.5,1682.0,5117,1682.1195036153997
2013-09-10 19:00:00,1682.0,1682.0,1681.0,1681.5,3264,1681.4964767156862
2013-09-10 20:00:00,1681.5,1681.5,1680.25,1681.0,5043,1680.807356732104
2013-09-10 21:00:00,1681.0,1684.0,1679.75,1681.75,19899,1681.827817980803
2013-09-10 22:00:00,1681.75,1682.75,1680.5,1681.25,4594,1681.4829669133653
2013-09-10 23:00:00,1681.0,1681.25,1680.0,1681.25,4569,1680.6142481943532
2013-09-11 00:00:00,1681.25,1681.75,1680.5,1680.75,1899,1681.0951816745655
2013-09-11 01:00:00,1680.75,1681.75,1680.5,1681.5,2957,1681.1208995603652
2013-09-11 02:00:00,1681.5,1681.75,1679.75,1680.5,5586,1680.5857500895095
2013-09-11 03:00:00,1680.5,1682.5,1679.75,1680.5,18773,1680.696439034784
2013-09-11 04:00:00,1680.5,1683.5,1680.5,1683.25,16434,1682.0236095898747
2013-09-11 05:00:00,1683.0,1683.25,1680.5,1681.0,10965,1681.9181486548107
2013-09-11 06:00:00,1681.0,1683.0,1680.75,1682.25,14762,1681.9787630402384
2013-09-11 07:00:00,1682.0,1683.0,1679.75,1680.25,21325,1681.4115943728018
2013-09-11 08:00:00,1680.5,1681.75,1680.25,1681.25,24361,1680.864434957514
